iter	Passed	Remaining
0	10	2070
1	19	1931
2	28	1903
3	38	1864
4	47	1843
5	56	1827
6	65	1816
7	75	1818
8	85	1808
9	94	1798
10	103	1786
11	113	1771
12	122	1757
13	131	1753
14	140	1738
15	149	1724
16	159	1711
17	168	1699
18	177	1687
19	186	1674
20	195	1666
21	204	1656
22	213	1646
23	222	1634
24	231	1620
25	242	1620
26	251	1611
27	260	1600
28	270	1592
29	279	1582
30	288	1570
31	297	1564
32	306	1551
33	315	1541
34	324	1531
35	333	1519
36	342	1509
37	350	1496
38	359	1483
39	368	1472
40	377	1463
41	385	1451
42	394	1440
43	402	1428
44	411	1417
45	420	1406
46	428	1395
47	437	1385
48	447	1377
49	456	1369
50	465	1360
51	474	1350
52	482	1338
53	491	1329
54	500	1319
55	510	1311
56	519	1304
57	529	1295
58	538	1286
59	547	1276
60	556	1268
61	565	1257
62	574	1249
63	583	1240
64	592	1230
65	600	1220
66	609	1210
67	618	1200
68	627	1191
69	636	1182
70	646	1173
71	655	1165
72	663	1154
73	671	1144
74	680	1133
75	688	1123
76	698	1115
77	706	1105
78	715	1095
79	724	1086
80	733	1077
81	742	1068
82	751	1059
83	760	1050
84	769	1041
85	778	1031
86	787	1022
87	797	1014
88	806	1005
89	814	995
90	823	986
91	832	976
92	840	967
93	849	958
94	859	950
95	871	943
96	880	934
97	889	925
98	898	916
99	906	906
100	915	897
101	925	888
102	933	879
103	941	869
104	950	860
105	958	850
106	967	841
107	977	832
108	986	823
109	996	815
110	1005	805
111	1013	796
112	1022	786
113	1031	777
114	1039	768
115	1047	758
116	1057	749
117	1065	740
118	1075	731
119	1083	722
120	1092	713
121	1101	704
122	1110	695
123	1119	686
124	1128	677
125	1137	668
126	1146	659
127	1156	650
128	1164	641
129	1173	631
130	1182	622
131	1191	613
132	1200	604
133	1209	595
134	1217	586
135	1226	577
136	1234	567
137	1243	558
138	1252	549
139	1261	540
140	1270	531
141	1279	522
142	1288	513
143	1297	504
144	1305	495
145	1314	486
146	1323	477
147	1332	468
148	1340	458
149	1350	450
150	1360	441
151	1368	432
152	1377	423
153	1386	414
154	1395	405
155	1403	395
156	1411	386
157	1421	377
158	1430	368
159	1439	359
160	1448	350
161	1458	342
162	1466	332
163	1475	323
164	1484	314
165	1492	305
166	1500	296
167	1508	287
168	1516	278
169	1524	269
170	1532	259
171	1540	250
172	1548	241
173	1557	232
174	1565	223
175	1573	214
176	1581	205
177	1589	196
178	1597	187
179	1605	178
180	1614	169
181	1622	160
182	1631	151
183	1639	142
184	1648	133
185	1657	124
186	1665	115
187	1673	106
188	1682	97
189	1690	88
190	1698	80
191	1707	71
192	1716	62
193	1724	53
194	1732	44
195	1741	35
196	1748	26
197	1756	17
198	1765	8
199	1773	0
